Diagnose;Schlüssel;Anzahl von Diagnose
Angeborene infektiöse oder parasitäre Krankheit, nicht näher bezeichnet;P37.9;Gefährlich
Instabiles Hüftgelenk (angeboren);Q65.6;Gefährlich
Benigne und akzidentelle Herzgeräusche;R01.0;Gefährlich
Andere Intelligenzminderung: Keine oder geringfügige Verhaltensstörung;F78.0;Gefährlich
Sonstige und nicht näher bezeichnete Störungen der Atmung;R06.88;Gefährlich
Notwendigkeit der Impfung gegen sonstige einzelne bakterielle Krankheiten;Z23.8;Gefährlich
Asthma bronchiale, nicht näher bezeichnet;J45.9;Gefährlich
Infektiöse oder parasitäre Krankheiten in der Familienanamnese;Z83.1;Gefährlich
Gehirnerschütterung;S06.0;Gefährlich
Vorhandensein einer Drainage des Liquor cerebrospinalis;Z98.2;Gefährlich
Versorgen mit und Anpassen von sonstigen näher bezeichneten medizinischen Geräten oder Hilfsmitteln;Z46.8;Gefährlich
Sonstige akute Konjunktivitis;H10.2;Gefährlich
Erhöhung der Transaminasenwerte und des Laktat-Dehydrogenase-Wertes [LDH];R74.0;Gefährlich
Beobachtung bei sonstigen Verdachtsfällen;Z03.8;Gefährlich
Akute eitrige Otitis media;H66.0;Gefährlich
Seltsames und unerklärliches Verhalten;R46.2;Gefährlich
Akute Pharyngitis, nicht näher bezeichnet;J02.9;Gefährlich
Sonstige generalisierte Epilepsie und epileptische Syndrome;G40.4;Gefährlich
Psychische Krankheiten oder Verhaltensstörungen in der Familienanamnese;Z81;Gefährlich
Hautausschlag und sonstige unspezifische Hauteruptionen;R21;Gefährlich
Akute Tonsillitis, nicht näher bezeichnet;J03.9;Gefährlich
Vorhandensein eines Gastrostomas;Z93.1;Gefährlich
Sonstige und nicht näher bezeichnete Krämpfe;R56.8;Gefährlich
Adipositas durch übermäßige Kalorienzufuhr: Body-Mass-Index [BMI] nicht näher bezeichnet;E66.09;Gefährlich
Keimträger anderer näher bezeichneter bakterieller Krankheiten;Z22.3;Gefährlich
Diabetes mellitus in der Familienanamnese;Z83.3;Gefährlich
Einfache Aktivitäts- und Aufmerksamkeitsstörung;F90.0;Gefährlich
Offener Ductus arteriosus;Q25.0;Gefährlich
Sonstige infantile Zerebralparese;G80.8;Gefährlich
Abnorme Ergebnisse von Funktionsprüfungen des peripheren Nervensystems und bestimmter Sinnesorgane;R94.1;Gefährlich
Dentitionskrankheit;K00.7;Gefährlich
Akute Gastroenteritis durch Norovirus [Norwalk-Virus];A08.1;Gefährlich
Für das Gestationsalter zu kleine Neugeborene;P05.1;Gefährlich
Erbrechen beim Neugeborenen;P92.0;Gefährlich
Nicht näher bezeichnete offene Wunde sonstiger Teile des Kopfes;S01.80;Gefährlich
Synkope und Kollaps;R55;Gefährlich
Sonstige und nicht näher bezeichnete abnorme Urinbefunde;R82.9;Gefährlich
Obstruktives Schlafapnoe-Syndrom;G47.31;Gefährlich
Chronische respiratorische Insuffizienz, anderenorts nicht klassifiziert: Typ I [hypoxisch];J96.10;Gefährlich
Erhöhter Blutdruckwert ohne Diagnose eines Bluthochdrucks;R03.0;Gefährlich
Andere Kontaktanlässe mit Bezug auf die Erziehung;Z62;Gefährlich
Krankheiten des Atmungssystems in der Eigenanamnese;Z87.0;Gefährlich
Krankheiten des Nervensystems oder der Sinnesorgane in der Eigenanamnese;Z86.6;Gefährlich
Allergie, nicht näher bezeichnet;T78.4;Gefährlich
Andere psychische Krankheiten oder Verhaltensstörungen in der Eigenanamnese;Z86.5;Gefährlich
Transitorische Tachypnoe beim Neugeborenen;P22.1;Gefährlich
Krankheiten des Kreislaufsystems in der Eigenanamnese;Z86.7;Gefährlich
Abnorme Ergebnisse von kardiovaskulären Funktionsprüfungen;R94.3;Gefährlich
Trisomie 21, meiotische Non-disjunction;Q90.0;Gefährlich
Orthostatische Hypotonie;I95.1;Gefährlich
Laktoseintoleranz, nicht näher bezeichnet;E73.9;Gefährlich
Anpassung und Handhabung eines implantierten medizinischen Gerätes, nicht näher bezeichnet;Z45.9;Gefährlich
Anoxische Hirnschädigung, anderenorts nicht klassifiziert;G93.1;Gefährlich
Anämie bei Prämaturität;P61.2;Gefährlich
Abnorme Gewichtsabnahme;R63.4;Gefährlich
Sonstige Nahrungsmittelunverträglichkeit, anderenorts nicht klassifiziert;T78.1;Gefährlich
Vorhofseptumdefekt;Q21.1;Gefährlich
Sonstige näher bezeichnete Nachbehandlung nach chirurgischem Eingriff;Z48.8;Gefährlich
Azidose;E87.2;Gefährlich
Folgen einer intrazerebralen Blutung;I69.1;Gefährlich
Sonstige medizinische Behandlung in der Eigenanamnese;Z92.8;Gefährlich
Sonstige näher bezeichnete Zustände nach chirurgischen Eingriffen;Z98.8;Gefährlich
Mundatmung;R06.5;Gefährlich
Zystische Fibrose mit sonstigen multiplen Manifestationen;E84.87;Gefährlich
Sonstiges atopisches [endogenes] Ekzem;L20.8;Gefährlich
Husten;R05;Gefährlich
Folgen einer sonstigen nichttraumatischen intrakraniellen Blutung;I69.2;Gefährlich
Sonstige und nicht näher bezeichnete Symptome, die das Nervensystem und das Muskel-Skelett-System betreffen;R29.8;Gefährlich
Somnolenz;R40.0;Gefährlich
Hyperventilation;R06.4;Gefährlich
Verstauchung und Zerrung der Halswirbelsäule;S13.4;Gefährlich
Störungen des Natriumgleichgewichtes beim Neugeborenen;P74.2;Gefährlich
Bradykardie, nicht näher bezeichnet;R00.1;Gefährlich
Abnorme Befunde bei der mikrobiologischen Urinuntersuchung;R82.7;Gefährlich
Sonstige Brustschmerzen;R07.3;Gefährlich
Meningismus;R29.1;Gefährlich
Tachykardie, nicht näher bezeichnet;R00.0;Gefährlich
Entfernung einer Metallplatte oder einer anderen inneren Fixationsvorrichtung;Z47.0;Gefährlich
Ein- und Durchschlafstörungen;G47.0;Gefährlich
Vitamin-D-Mangel, nicht näher bezeichnet;E55.9;Gefährlich
Sonstige und nicht näher bezeichnete Dysphagie;R13.9;Gefährlich
Vorwiegend allergisches Asthma bronchiale;J45.0;Gefährlich
Krankheiten des Verdauungssystems in der Eigenanamnese;Z87.1;Gefährlich
Anpassungsstörungen;F43.2;Gefährlich
Akute obstruktive Laryngitis [Krupp];J05.0;Gefährlich
Vorhandensein von endokrinen Implantaten;Z96.4;Gefährlich
Oberflächliche Verletzung der Nase: Prellung;S00.35;Gefährlich
Sonstige abnorme Befunde bei der bildgebenden Diagnostik des Zentralnervensystems;R90.8;Gefährlich
Kontaktanlässe mit Bezug auf die Ausbildung;Z55;Gefährlich
Infektiöse oder parasitäre Krankheiten in der Eigenanamnese;Z86.1;Gefährlich
Abnorme Befunde bei der bildgebenden Diagnostik der Harnorgane;R93.4;Gefährlich
Fazialisparese;G51.0;Gefährlich
Störungen des Fruktosestoffwechsels;E74.1;Gefährlich
Oberflächliche Verletzung sonstiger Teile des Kopfes: Schürfwunde;S00.81;Gefährlich
Sonstige näher bezeichnete Chromosomenanomalien;Q99.8;Gefährlich
Langzeitige Abhängigkeit vom Respirator;Z99.1;Gefährlich
Krankheiten des Urogenitalsystems in der Eigenanamnese;Z87.4;Gefährlich
Epistaxis;R04.0;Gefährlich
Bronchopulmonale Dysplasie mit Ursprung in der Perinatalperiode;P27.1;Gefährlich
Sonstige Reaktion auf Spinal- und Lumbalpunktion;G97.1;Gefährlich
Kontaktanlässe mit Bezug auf Kindheitserlebnisse;Z61;Gefährlich
Eisenmangelanämie, nicht näher bezeichnet;D50.9;Gefährlich
Sonstige näher bezeichnete Verhaltens- und emotionale Störungen mit Beginn in der Kindheit und Jugend;F98.8;Gefährlich
Gastroösophageale Refluxkrankheit mit Ösophagitis;K21.0;Gefährlich
Konjunktivitis und Dakryozystitis beim Neugeborenen;P39.1;Gefährlich
Desensibilisierung gegenüber Allergenen;Z51.6;Gefährlich
Streptokokken-Tonsillitis;J03.0;Gefährlich
Gastroösophageale Refluxkrankheit ohne Ösophagitis;K21.9;Gefährlich
Hyperplasie der Gaumenmandeln mit Hyperplasie der Rachenmandel;J35.3;Gefährlich
Fieber unbekannter Ursache;R50.80;Gefährlich
Störungen des Schlaf-Wach-Rhythmus;G47.2;Gefährlich
Sonstige Laktoseintoleranz;E73.8;Gefährlich
Parästhesie der Haut;R20.2;Gefährlich
Prellung des Thorax;S20.2;Gefährlich
Notwendigkeit der Impfung gegen Tetanus, nicht kombiniert;Z23.5;Gefährlich
Mischformen des Asthma bronchiale;J45.8;Gefährlich
Generalisierte idiopathische Epilepsie und epileptische Syndrome;G40.3;Gefährlich
Retinopathia praematurorum;H35.1;Gefährlich
Kontaktanlässe mit Bezug auf die soziale Umgebung;Z60;Gefährlich
Dermatitis vesicularis durch Herpesviren;B00.1;Gefährlich
Dyspnoe;R06.0;Gefährlich
Sonstige näher bezeichnete lokale Infektionen der Haut und der Unterhaut;L08.8;Gefährlich
Sonstige Epilepsien;G40.8;Gefährlich
Sonstige Eisenmangelanämien;D50.8;Gefährlich
Schlafbezogenes Hypoventilations-Syndrom;G47.32;Gefährlich
Mäßige Energie- und Eiweißmangelernährung;E44.0;Gefährlich
Gingivostomatitis herpetica und Pharyngotonsillitis herpetica;B00.2;Gefährlich
Hyperplasie der Rachenmandel;J35.2;Gefährlich
Enteritis durch Adenoviren;A08.2;Gefährlich
Spontane Ekchymosen;R23.3;Gefährlich
Schmerzen mit Lokalisation in anderen Teilen des Unterbauches;R10.3;Gefährlich
Nicht näher bezeichnete Hämaturie;R31;Gefährlich
Nicht näher bezeichnete erhebliche Energie- und Eiweißmangelernährung;E43;Gefährlich
Gelenkkontraktur: Mehrere Lokalisationen;M24.50;Gefährlich
Harnwegsinfektion, Lokalisation nicht näher bezeichnet;N39.0;Gefährlich
Hernia inguinalis, einseitig oder ohne Seitenangabe, ohne Einklemmung und ohne Gangrän: Nicht als Rezidivhernie bezeichnet;K40.90;Gefährlich
Autoimmunthyreoiditis;E06.3;Gefährlich
Chronische seröse Otitis media;H65.2;Gefährlich
Zentrales Schlafapnoe-Syndrom;G47.30;Gefährlich
Sonstige näher bezeichnete Krankheiten oder Zustände in der Eigenanamnese;Z87.8;Gefährlich
Kombinierte umschriebene Entwicklungsstörungen;F83;Gefährlich
Hyperplasie der Gaumenmandeln;J35.1;Gefährlich
Umschriebenes Ödem;R60.0;Gefährlich
Sonstiger Hydrozephalus;G91.8;Gefährlich
Schmerzen im Bereich des Oberbauches;R10.1;Gefährlich
Meläna;K92.1;Gefährlich
Nichtorganische Insomnie;F51.0;Gefährlich
Mikrozephalie;Q02;Gefährlich
Nichtorganische Enuresis;F98.0;Gefährlich
Akute Sinusitis frontalis;J01.1;Gefährlich
Chronische respiratorische Insuffizienz, anderenorts nicht klassifiziert: Typ II [hyperkapnisch];J96.11;Gefährlich
Sonstige Hypotonie;I95.8;Gefährlich
Nicht näher bezeichnete Verletzung des Abdomens, der Lumbosakralgegend und des Beckens;S39.9;Gefährlich
Abnorme Körperhaltung;R29.3;Gefährlich
Sonstige oberflächliche Verletzungen des Unterschenkels: Schürfwunde;S80.81;Gefährlich
Spezielle Verfahren zur Untersuchung auf infektiöse und parasitäre Krankheiten;Z11;Gefährlich
Muskeldystrophie;G71.0;Gefährlich
Halsschmerzen;R07.0;Gefährlich
Abnorme Befunde bei der bildgebenden Diagnostik des Schädels und des Kopfes, anderenorts nicht klassifiziert;R93.0;Gefährlich
Bestimmte Behinderungen oder chronische Krankheiten in der Familienanamnese, die zu Schädigung oder Behinderung führen;Z82;Gefährlich
Blindheit und hochgradige Sehbehinderung, binokular;H54.0;Gefährlich
Anpassung und Handhabung eines operativ implantierten vaskulären Katheterverweilsystems;Z45.20;Gefährlich
Ventrikelseptumdefekt;Q21.0;Gefährlich
Sonstiger näher bezeichneter Diabetes mellitus: Ohne Komplikationen: Nicht als entgleist bezeichnet;E13.90;Gefährlich
Sonstige Schlafapnoe;G47.38;Gefährlich
Spastische diplegische Zerebralparese;G80.1;Gefährlich
Sonstige Hypoglykämie;E16.1;Gefährlich
Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems in der Eigenanamnese;Z86.2;Gefährlich
Benigne essentielle Hypertonie: Ohne Angabe einer hypertensiven Krise;I10.00;Gefährlich
Abnorme Befunde bei der bildgebenden Diagnostik des Herzens und des Koronarkreislaufes;R93.1;Gefährlich
Folgen eines Hirninfarktes;I69.3;Gefährlich
Dauertherapie (gegenwärtig) mit Antikoagulanzien in der Eigenanamnese;Z92.1;Gefährlich
Versorgung eines Tracheostomas;Z43.0;Gefährlich
Sonstige näher bezeichnete medizinische Behandlung;Z51.88;Gefährlich
Prellung der Lumbosakralgegend und des Beckens;S30.0;Gefährlich
Lumbale Spina bifida mit Hydrozephalus;Q05.2;Gefährlich
Lymphknotenvergrößerung, umschrieben;R59.0;Gefährlich
Epilepsie, nicht näher bezeichnet;G40.9;Gefährlich
Balanoposthitis;N48.1;Gefährlich
Akute tubulointerstitielle Nephritis;N10;Gefährlich
Spezielle Verfahren zur Untersuchung auf Diabetes mellitus;Z13.1;Gefährlich
Störungen des Fettsäurestoffwechsels;E71.3;Gefährlich
Offene Wunde der behaarten Kopfhaut;S01.0;Gefährlich
Neugeborenenikterus, nicht näher bezeichnet;P59.9;Gefährlich
Infektion und entzündliche Reaktion durch sonstige interne Prothesen, Implantate oder Transplantate;T85.78;Gefährlich
Isolierung als prophylaktische Maßnahme;Z29.0;Gefährlich
Akute Konjunktivitis, nicht näher bezeichnet;H10.3;Gefährlich
Bakterielle Pneumonie, nicht näher bezeichnet;J15.9;Gefährlich
Vorhandensein eines operativ implantierten vaskulären Katheterverweilsystems;Z95.81;Gefährlich
Störungen des Kaliumgleichgewichtes beim Neugeborenen;P74.3;Gefährlich
Seborrhoea capitis;L21.0;Gefährlich
Sonstige abnorme Serumenzymwerte;R74.8;Gefährlich
Prellung der Schulter und des Oberarmes;S40.0;Gefährlich
Otitis media, nicht näher bezeichnet;H66.9;Gefährlich
Intraventrikuläre (nichttraumatische) Blutung 1. Grades beim Feten und Neugeborenen;P52.0;Gefährlich
Arnold-Chiari-Syndrom;Q07.0;Gefährlich
Alkalose;E87.3;Gefährlich
Akute Zystitis;N30.0;Gefährlich
Chronische Nierenkrankheit, Stadium 3;N18.3;Gefährlich
Anpassung und Handhabung von sonstigen implantierten medizinischen Geräten;Z45.88;Gefährlich
Vorhauthypertrophie, Phimose und Paraphimose;N47;Gefährlich
Veränderung der Leukozyten, anderenorts nicht klassifiziert;R72;Gefährlich
Perikarderguss (nichtentzündlich);I31.3;Gefährlich
Hallervorden-Spatz-Syndrom;G23.0;Gefährlich
Langzeitige Abhängigkeit von sonstigen unterstützenden Apparaten, medizinischen Geräten oder Hilfsmitteln;Z99.8;Gefährlich
Lokalisationsbezogene (fokale) (partielle) symptomatische Epilepsie und epileptische Syndrome mit einfachen fokalen Anfällen;G40.1;Gefährlich
Hydrocephalus occlusus;G91.1;Gefährlich
Enteritis durch Rotaviren;A08.0;Gefährlich
Sonstige Symptome, die die Stimmung betreffen;R45.8;Gefährlich
Sonstige näher bezeichnete Veränderungen der Plasmaproteine;R77.88;Gefährlich
Sonstige vererbte spinale Muskelatrophie;G12.1;Gefährlich
Spastische Paraparese und Paraplegie: Nicht näher bezeichnet;G82.19;Gefährlich
Sonstige Sehstörungen;H53.8;Gefährlich
Sonstige näher bezeichnete abnorme immunologische Serumbefunde;R76.8;Gefährlich
Prellung der Bauchdecke;S30.1;Gefährlich
Primär insulinabhängiger Diabetes mellitus [Typ-1-Diabetes]: Ohne Komplikationen: Nicht als entgleist bezeichnet;E10.90;Gefährlich
Phlegmone an Zehen;L03.02;Gefährlich
Mekoniumpfropf-Syndrom;P76.0;Gefährlich
Krämpfe beim Neugeborenen;P90;Gefährlich
Hyperosmolalität und Hypernatriämie;E87.0;Gefährlich
Lungenkollaps;J98.1;Gefährlich
Generalisiertes Ödem;R60.1;Gefährlich
Hypothermie;T68;Gefährlich
Allergische Rhinopathie durch Pollen;J30.1;Gefährlich
Atopisches [endogenes] Ekzem, nicht näher bezeichnet;L20.9;Gefährlich
Tuberöse (Hirn-) Sklerose;Q85.1;Gefährlich
Spastische Tetraparese und Tetraplegie: Nicht näher bezeichnet;G82.49;Gefährlich
Zöliakie;K90.0;Gefährlich
Sonstige transitorische Störungen des Elektrolythaushaltes beim Neugeborenen;P74.4;Gefährlich
Sonstige näher bezeichnete angeborene Fehlbildungssyndrome, anderenorts nicht klassifiziert;Q87.8;Gefährlich
Prellung des Augenlides und der Periokularregion;S00.1;Gefährlich
Sonstige Mukopolysaccharidosen;E76.2;Gefährlich
Retrograde Amnesie;R41.2;Gefährlich
Hypoplastisches Linksherzsyndrom;Q23.4;Gefährlich
Adipositas, nicht näher bezeichnet: Body-Mass-Index [BMI] nicht näher bezeichnet;E66.99;Gefährlich
Umschriebene Entwicklungsstörung der Fein- und Graphomotorik;F82.1;Gefährlich
Sonstige Reduktionsdeformitäten des Gehirns;Q04.3;Gefährlich
Zyanose;R23.0;Gefährlich
Sonstige Probleme mit Bezug auf die Lebensführung;Z72.8;Gefährlich
Palpitationen;R00.2;Gefährlich
Offene Wunde: Lippe;S01.51;Gefährlich
Psychische und Verhaltensstörungen durch Alkohol: Akute Intoxikation [akuter Rausch];F10.0;Gefährlich
Sonstige näher bezeichnete angeborene Fehlbildungen des Gehirns;Q04.8;Gefährlich
Harnverhaltung;R33;Gefährlich
Hämatemesis;K92.0;Gefährlich
Neuromyopathische Skoliose: Mehrere Lokalisationen der Wirbelsäule;M41.40;Gefährlich
Hernia diaphragmatica ohne Einklemmung und ohne Gangrän;K44.9;Gefährlich
Leichte Intelligenzminderung: Keine oder geringfügige Verhaltensstörung;F70.0;Gefährlich
Akute Sinusitis maxillaris;J01.0;Gefährlich
Eisenmangelanämie nach Blutverlust (chronisch);D50.0;Gefährlich
Sonstige und nicht näher bezeichnete Koordinationsstörungen;R27.8;Gefährlich
Versorgung eines Ileostomas;Z43.2;Gefährlich
Sonstige und nicht näher bezeichnete Ovarialzysten;N83.2;Gefährlich
Stenose der A. pulmonalis (angeboren);Q25.6;Gefährlich
Zyanoseanfälle beim Neugeborenen;P28.2;Gefährlich
Stridor;R06.1;Gefährlich
Schädigung des Feten und Neugeborenen durch Tabakkonsum der Mutter;P04.2;Gefährlich
Sepsis, nicht näher bezeichnet;A41.9;Gefährlich
Sonstige näher bezeichnete Krankheiten der Niere und des Ureters;N28.8;Gefährlich
Kreuzschmerz;M54.5;Gefährlich
Gangrän, anderenorts nicht klassifiziert;R02;Gefährlich
Für das Gestationsalter zu leichte Neugeborene;P05.0;Gefährlich
Hämangiom: Haut und Unterhaut;D18.01;Gefährlich
Hereditärer Faktor-VIII-Mangel;D66;Gefährlich
Dermatitis, nicht näher bezeichnet;L30.9;Gefährlich
Akute Belastungsreaktion;F43.0;Gefährlich
Diplopie;H53.2;Gefährlich
Andere Intelligenzminderung: Deutliche Verhaltensstörung, die Beobachtung oder Behandlung erfordert;F78.1;Gefährlich
Erhöhter Antikörpertiter;R76.0;Gefährlich
Sonstige näher bezeichnete Krankheiten der Zähne und des Zahnhalteapparates;K08.88;Gefährlich
Sonstige und nicht näher bezeichnete Störungen des Ganges und der Mobilität;R26.8;Gefährlich
Sonstige näher bezeichnete kardiale Arrhythmien;I49.8;Gefährlich
Sonstige (angeborene) obstruktive Defekte des Nierenbeckens und des Ureters;Q62.3;Gefährlich
Koma, nicht näher bezeichnet;R40.2;Gefährlich
Hyperkaliämie;E87.5;Gefährlich
Nichtbefolgung ärztlicher Anordnungen [Non-compliance] in der Eigenanamnese;Z91.1;Gefährlich
Leichte Energie- und Eiweißmangelernährung;E44.1;Gefährlich
Hypoglykämie, nicht näher bezeichnet;E16.2;Gefährlich
Keimträger anderer infektiöser Darmkrankheiten;Z22.1;Gefährlich
Hydrozephalus, nicht näher bezeichnet;G91.9;Gefährlich
Hirnzysten;G93.0;Gefährlich
Hernia umbilicalis ohne Einklemmung und ohne Gangrän;K42.9;Gefährlich
Gallenblasenstein ohne Cholezystitis: Ohne Angabe einer Gallenwegsobstruktion;K80.20;Gefährlich
Allergische Urtikaria;L50.0;Gefährlich
Dauertherapie (gegenwärtig) mit anderen Arzneimitteln in der Eigenanamnese;Z92.2;Gefährlich
Sonstiger angeborener Hydrozephalus;Q03.8;Gefährlich
Sonstige oberflächliche Verletzungen des Unterarmes: Schürfwunde;S50.81;Gefährlich
Untersuchung und Beobachtung nach anderem Unfall;Z04.3;Gefährlich
Sonstige Stuhlveränderungen;R19.5;Gefährlich
Sonstige transitorische Störungen des Kohlenhydratstoffwechsels beim Feten und Neugeborenen;P70.8;Gefährlich
Thrombozytopenie, nicht näher bezeichnet: Nicht als transfusionsrefraktär bezeichnet;D69.61;Gefährlich
Notwendigkeit der Impfung gegen Diphtherie-Pertussis-Tetanus [DPT];Z27.1;Gefährlich
Pneumothorax mit Ursprung in der Perinatalperiode;P25.1;Gefährlich
Prellung des Knies;S80.0;Gefährlich
Sonstige näher bezeichnete Hypothyreose;E03.8;Gefährlich
Sonstige lokalisationsbezogene (fokale) (partielle) idiopathische Epilepsie und epileptische Syndrome mit fokal beginnenden Anfällen;G40.08;Gefährlich
Notwendigkeit der Impfung gegen sonstige näher bezeichnete einzelne Viruskrankheiten;Z25.8;Gefährlich
Pavor nocturnus;F51.4;Gefährlich
Oberflächliche Verletzung der Nase: Schürfwunde;S00.31;Gefährlich
Hypertonie als Folge von sonstigen Nierenkrankheiten: Ohne Angabe einer hypertensiven Krise;I15.10;Gefährlich
Neuromyopathische Skoliose: Nicht näher bezeichnete Lokalisation;M41.49;Gefährlich
Infektionen nach Infusion, Transfusion oder Injektion zu therapeutischen Zwecken;T80.2;Gefährlich
Kephalhämatom durch Geburtsverletzung;P12.0;Gefährlich
Hypopituitarismus;E23.0;Gefährlich
Lese- und Rechtschreibstörung;F81.0;Gefährlich
Mitochondriale Zytopathie;G31.81;Gefährlich
Infantile hemiplegische Zerebralparese;G80.2;Gefährlich
Krankheiten des Muskel-Skelett-Systems und des Bindegewebes in der Eigenanamnese;Z87.3;Gefährlich
Angeborene Muskelhypotonie;P94.2;Gefährlich
Angeborene Fehlbildungssyndrome, die vorwiegend mit Kleinwuchs einhergehen;Q87.1;Gefährlich
Abnorme Befunde bei der bildgebenden Diagnostik sonstiger Abdominalregionen, einschließlich des Retroperitoneums;R93.5;Gefährlich
Austritt von Liquor cerebrospinalis nach Lumbalpunktion;G97.0;Gefährlich
Zeruminalpfropf;H61.2;Gefährlich
Sonstige näher bezeichnete sekundäre pulmonale Hypertonie;I27.28;Gefährlich
Sonstige oberflächliche Verletzungen der Schulter und des Oberarmes: Schürfwunde;S40.81;Gefährlich
Trommelfellperforation, nicht näher bezeichnet;H72.9;Gefährlich
Vorhandensein von sonstigen kardialen oder vaskulären Implantaten oder Transplantaten;Z95.88;Gefährlich
Sonstige Schlafstörungen;G47.8;Gefährlich
Spezifische (isolierte) Phobien;F40.2;Gefährlich
Unspezifische mesenteriale Lymphadenitis;I88.0;Gefährlich
Sonstige Miktionsstörungen;R39.1;Gefährlich
Sonstige Entwicklungsstörungen schulischer Fertigkeiten;F81.8;Gefährlich
Peritoneale Adhäsionen;K66.0;Gefährlich
Sonstige näher bezeichnete angeborene Fehlbildungen des Rückenmarks;Q06.8;Gefährlich
Pes equinovarus congenitus;Q66.0;Gefährlich
